,id,entry name,protein_names,tissue_specificity
0,A0A075B6H7,KV37_HUMAN,Probable non-functional immunoglobulin kappa variable 3-7,
1,A0A075B6I0,LV861_HUMAN,Immunoglobulin lambda variable 8-61,
2,A0A075B6J9,LV218_HUMAN,Immunoglobulin lambda variable 2-18,
3,A0A075B6R2,HV404_HUMAN,Immunoglobulin heavy variable 4-4,
4,A0A0A0MS14,HV145_HUMAN,Immunoglobulin heavy variable 1-45,
5,A0A0A0MS15,HV349_HUMAN,Immunoglobulin heavy variable 3-49,
6,A0A0B4J1V0,HV315_HUMAN,Immunoglobulin heavy variable 3-15,
7,A0A0B4J1V1,HV321_HUMAN,Immunoglobulin heavy variable 3-21,
8,A0A0B4J1V2,HV226_HUMAN,Immunoglobulin heavy variable 2-26,
9,A0A0B4J1X8,HV343_HUMAN,Immunoglobulin heavy variable 3-43,
10,A0A0B4J1Z2,KVD43_HUMAN,Immunoglobulin kappa variable 1D-43,
11,A0A0C4DH25,KVD20_HUMAN,Immunoglobulin kappa variable 3D-20,
12,A0A0C4DH29,HV103_HUMAN,Immunoglobulin heavy variable 1-3,
13,A0A0C4DH33,HV124_HUMAN,Immunoglobulin heavy variable 1-24,
14,A0A0C4DH34,HV428_HUMAN,Immunoglobulin heavy variable 4-28,
15,A0A0C4DH38,HV551_HUMAN,Immunoglobulin heavy variable 5-51,
16,A0A0C4DH42,HV366_HUMAN,Immunoglobulin heavy variable 3-66,
17,A0A0G2JMI3,HV692_HUMAN,Immunoglobulin heavy variable 1-69-2,
18,A0A0J9YX35,HV64D_HUMAN,Immunoglobulin heavy variable 3-64D,
19,A0A1B0GUS4,UB2L5_HUMAN,Ubiquitin-conjugating enzyme E2 L5 (EC 2.3.2.23) (Ubiquitin-protein ligase L5),
20,A0AVT1,UBA6_HUMAN,Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2),"TISSUE SPECIFICITY: Widely expressed. Isoform 2 is predominantly expressed in testis with higher expression in adult testis than in fetal testis. {ECO:0000269|PubMed:15202508, ECO:0000269|PubMed:17597759}."
21,A0PJW6,TM223_HUMAN,Transmembrane protein 223,
22,A1A4S6,RHG10_HUMAN,Rho GTPase-activating protein 10 (GTPase regulator associated with focal adhesion kinase 2) (GRAF2) (Graf-related protein 2) (Rho-type GTPase-activating protein 10),TISSUE SPECIFICITY: High levels of expression in heart and skeletal muscle. {ECO:0000269|PubMed:11432776}.
